Data for 2024-03-17: 
stock,timestamp,open,high,low,close,volume
AAPL,2024-03-18 09:30:00,175.5700,175.7600,174.8800,175.4300,2375390
AAPL,2024-03-18 09:31:00,175.4250,175.7700,175.2000,175.7500,498142
AAPL,2024-03-18 09:32:00,175.7600,175.9100,175.5400,175.7700,566280
AAPL,2024-03-18 09:33:00,175.7600,176.1680,175.6800,175.9750,720968
AAPL,2024-03-18 09:34:00,175.9720,176.0500,175.6400,175.8600,427842
AAPL,2024-03-18 09:35:00,175.8700,176.3400,175.8200,176.3300,692365
AAPL,2024-03-18 09:36:00,176.3300,176.4000,175.8800,176.0190,684740
AAPL,2024-03-18 09:37:00,176.0010,176.1900,175.9600,176.0050,455199
AAPL,2024-03-18 09:38:00,176.0100,176.2900,176.0100,176.2400,387677
AAPL,2024-03-18 09:39:00,176.2400,176.4500,176.1300,176.2700,485238
AAPL,2024-03-18 09:40:00,176.2500,176.5800,176.2500,176.4600,349466
AAPL,2024-03-18 09:41:00,176.4750,176.5900,176.3500,176.4450,490491
AAPL,2024-03-18 09:42:00,176.4500,176.6000,176.4100,176.4550,387907
AAPL,2024-03-18 09:43:00,176.4500,176.4500,176.0900,176.3500,427893
AAPL,2024-03-18 09:44:00,176.3600,176.5200,176.2650,176.4600,309883
AAPL,2024-03-18 09:45:00,176.4700,176.9600,176.4400,176.9300,538219
AAPL,2024-03-18 09:46:00,176.9450,177.4600,176.8700,177.3850,841258
AAPL,2024-03-18 09:47:00,177.3850,177.4300,177.0000,177.0200,524060
AAPL,2024-03-18 09:48:00,177.0290,177.3200,177.0100,177.2500,258528
AAPL,2024-03-18 09:49:00,177.2450,177.4250,177.1700,177.4200,250715
AAPL,2024-03-18 09:50:00,177.4200,177.5000,177.2300,177.4100,381292
AAPL,2024-03-18 09:51:00,177.4100,177.5800,177.3800,177.5200,383319
AAPL,2024-03-18 09:52:00,177.5100,177.5600,177.3000,177.3950,385969
AAPL,2024-03-18 09:53:00,177.4000,177.4100,177.0300,177.1320,421244
AAPL,2024-03-18 09:54:00,177.1500,177.2900,177.0300,177.0510,246264
AAPL,2024-03-18 09:55:00,177.0550,177.1400,176.9600,177.1050,239678
AAPL,2024-03-18 09:56:00,177.1100,177.1700,176.8800,176.8800,224182
AAPL,2024-03-18 09:57:00,176.8900,176.8950,176.7300,176.8400,211724
AAPL,2024-03-18 09:58:00,176.8500,177.1500,176.8340,177.0700,355973
AAPL,2024-03-18 09:59:00,177.0700,177.1900,176.7190,176.7580,368623
AAPL,2024-03-18 10:00:00,176.7700,176.9200,176.6600,176.7100,243828
AAPL,2024-03-18 10:01:00,176.7120,176.9600,176.6950,176.9550,180163
AAPL,2024-03-18 10:02:00,176.9600,176.9600,176.7300,176.7330,148099
AAPL,2024-03-18 10:03:00,176.7400,176.8100,176.6900,176.7050,164779
AAPL,2024-03-18 10:04:00,176.7000,176.7400,176.5900,176.6890,172543
AAPL,2024-03-18 10:05:00,176.6700,176.6750,176.5900,176.6250,181530
AAPL,2024-03-18 10:06:00,176.6200,176.6800,175.5100,176.6280,197095
AAPL,2024-03-18 10:07:00,176.6250,176.7500,176.5850,176.6800,175378
AAPL,2024-03-18 10:08:00,176.6750,176.7500,176.5900,176.7150,189831
AAPL,2024-03-18 10:09:00,176.7170,176.7200,176.5900,176.6200,241478
AAPL,2024-03-18 10:10:00,176.6220,176.8400,176.6100,176.8340,262790
AAPL,2024-03-18 10:11:00,176.8400,176.9400,176.7000,176.9400,246895
AAPL,2024-03-18 10:12:00,176.9420,177.0200,176.8340,177.0050,302326
AAPL,2024-03-18 10:13:00,177.0040,177.2400,176.9800,177.0500,354344
AAPL,2024-03-18 10:14:00,177.0400,177.1800,176.9400,177.1500,170368
AAPL,2024-03-18 10:15:00,177.1450,177.1900,177.0200,177.0600,216372
AAPL,2024-03-18 10:16:00,177.0600,177.1500,177.0000,177.0100,201142
AAPL,2024-03-18 10:17:00,177.0050,177.0100,176.6700,176.6750,292196
AAPL,2024-03-18 10:18:00,176.6700,176.8850,176.6500,176.8600,182169
AAPL,2024-03-18 10:19:00,176.8590,177.0500,176.8000,176.9000,241727
AAPL,2024-03-18 10:20:00,176.9000,176.9400,176.7300,176.8700,164390
AAPL,2024-03-18 10:21:00,176.8710,177.3400,176.7900,177.2760,298110
AAPL,2024-03-18 10:22:00,177.2700,177.4500,177.2550,177.2940,419669
AAPL,2024-03-18 10:23:00,177.2950,177.3900,177.1400,177.2100,239677
AAPL,2024-03-18 10:24:00,177.2130,177.2300,177.1400,177.2090,118819
AAPL,2024-03-18 10:25:00,177.2100,177.2580,177.1500,177.2400,129680
AAPL,2024-03-18 10:26:00,177.2490,177.2900,177.1800,177.2250,103436
AAPL,2024-03-18 10:27:00,177.2250,177.2880,177.1500,177.2700,100916
AAPL,2024-03-18 10:28:00,177.2790,177.3600,177.2500,177.3580,118922
AAPL,2024-03-18 10:29:00,177.3500,177.4600,177.2800,177.3500,189230
AAPL,2024-03-18 10:30:00,177.3700,177.4200,177.3500,177.3800,137553
AAPL,2024-03-18 10:31:00,177.3800,177.3960,177.2300,177.3350,167285
AAPL,2024-03-18 10:32:00,177.3400,177.3700,177.2400,177.2700,163322
AAPL,2024-03-18 10:33:00,177.2700,177.4600,177.2550,177.4490,203703
AAPL,2024-03-18 10:34:00,177.4450,177.5650,177.4300,177.4890,296948
AAPL,2024-03-18 10:35:00,177.4900,177.6200,177.4600,177.5990,223329
AAPL,2024-03-18 10:36:00,177.5950,177.6050,177.4900,177.5600,226592
AAPL,2024-03-18 10:37:00,177.5650,177.7000,177.5300,177.6900,181587
AAPL,2024-03-18 10:38:00,177.6900,177.7100,177.5200,177.5800,205777
AAPL,2024-03-18 10:39:00,177.5890,177.6400,177.5350,177.5690,122067
AAPL,2024-03-18 10:40:00,177.5650,177.5990,177.5350,177.5500,177252
AAPL,2024-03-18 10:41:00,177.5550,177.5790,177.5300,177.5500,138262
AAPL,2024-03-18 10:42:00,177.5600,177.6950,177.5500,177.5600,172656
AAPL,2024-03-18 10:43:00,177.5550,177.6800,177.5550,177.5900,138071
AAPL,2024-03-18 10:44:00,177.5900,177.5900,177.4700,177.5300,163021
